,Topic Title,Category,Tags,Author,Leading Comment,Likes,Views,Replies
0,About the Financial Management category,Financial Management,[],Kane,Have questions about Financial Management? This is the category to use. Please be sure to select the most appropriate sub-category for your questions.,0,0,0
1,Unit cost allowance for prep services,Financial Management,[],KeithH,"Hi!  For those that are using prep centers, how much cost do you add on per unit to account for all expenses for prepping?  Prep center we are trying to use charges for receiving, per unit prepping and boxes. TIA",1,23,2
2,Unit cost allowance for prep services,Financial Management,[],KeithH,"We are currently paying for prep and packaging.  Cost breakdown is close to as follows:
Prep:
Single Unit - $0.90/unit
2 Packs - $1.25/unit
3-5 Packs - $1.50/unit
6+ Packs - $1.65/unit
Packaging:
About $0.10/unit",1,23,2
3,Unit cost allowance for prep services,Financial Management,[],KeithH,$0.90/unit for a single seems very high if your doing a lot of volume. Is this because your account is still relatively new?,1,23,2
4,Cashback cards for non US citizens?,Financial Management,[],Lazar,"When speaking about cashback cards,I hear people often mention Chase (Ink,Saphire),Capital One (Spark),Amex (Platinum,Centurion),etc. for business purpose or Uber Visa or Alliant Visa for personal use.
I checked those cards,but - when you read the small print - they are available only to US citizens (continental US+Hawaii+Puerto Rico…).
Does anyone know some cashback card,that can be used in USA as non US citizen?",0,149,2
5,Cashback cards for non US citizens?,Financial Management,[],Lazar,"That’s a good question - anyone here have any luck?
I would definitely do a Google search on this one. You might do better having a cashback card through a bank in your home country (you don’t mention where that is). Or reach out to where you currently have credit cards and see if they are of any help.
I know that years ago when I moved to the US from Canada (I have citizenship in both countries), credit history was the issue. I was able to get a card through a professional association I was a member of (NSPE). But, I was a citizen so I’m not sure that helps.",0,149,2
6,Cashback cards for non US citizens?,Financial Management,[],Lazar,"


 LizD:

I would definitely do a Google search on this one. You might do better having a cashback card through a bank in your home country (you don’t mention where that is). Or reach out to where you currently have credit cards and see if they are of any help.


Where I come from that system (cashback) is yet making baby steps…it was first introduced last year (before last year here virtually nobody knew that such thing exists)…so you can imagine “how far” we came with it.
I called the bank to ask…there is almost nothing for me.You can gain some cashback in certain (local) supermarkets,but only for a limited time (during the summer).And on some gas stations (again,locally).Nothing else 
That’s why I ask if there’s somebody,with experience for cashback cards for non-US…",0,149,2
7,Purchase Orders for Bundles,Financial Management,['Accounting & Bookkeeping'],Mitch,"Good Morning,
What does everyone use to create purchase orders for SKU’s with multiple different items it the listing from the same company?
Thank you,",4,146,3
8,Purchase Orders for Bundles,Financial Management,['Accounting & Bookkeeping'],Mitch,@APlusSeller I’m not sure if I am understanding the question correctly but we typically don’t record bundles as a single line item in a purchase order.  We break them out by item within the purchase order.  Is this what you are asking?,4,146,3
9,Purchase Orders for Bundles,Financial Management,['Accounting & Bookkeeping'],Mitch,@Mitch That’s what I’m asking. Is there a software that allows you to add different products to the same PO at one time?,4,146,3
10,Purchase Orders for Bundles,Financial Management,['Accounting & Bookkeeping'],Mitch,"@APlusSeller It’s not likely that accounting software allows many third party applications to work with their system.  Depending on what you are using though, you may have the ability to upload purchase orders from an excel or csv file.
If that is the case, you can create a Google Sheet that breaks bundle ASINs out into individual items for you and then upload it to your accounting software.",4,146,3
11,Sales tax,Financial Management,['Accounting & Bookkeeping'],dast1983,"I’m pretty set with sales tax on Amazon. However, if I expand to Walmart, and Jet, then it gets more complex. For example, I think I have to understand if I have economic nexus in a state, and then include my sales among Amazon, Walmart, and Jet into all that, and then actually file the sales tax.
I’m only a $600,000 seller at this point, so running on shoe-strings. How do you incorporate all that cost-efficiently and what software do you use for automation?
Dan",3,129,2
12,Sales tax,Financial Management,['Accounting & Bookkeeping'],dast1983,"We firmly believe that the marketplaces should be doing filing for sellers of that size and that you should only have to file in your home state. That said, what we believe doesn’t really matter and you shoul dof course consult with your accountant.
There are software tools to help (TaxJar, Avalara, etc), and accountants to file for you in the various states. However, there isn’t a super inexpensive way to do this.",3,129,2
13,Sales tax,Financial Management,['Accounting & Bookkeeping'],dast1983,"So are you saying you don’t pay sales tax for marketplace sales, except in your home state? I’ve heard of other sellers who think that, but legally, it doesn’t sound like it would hold water if any state in particular decided to go after you for that. Now that I’m scaling, I can see the argument for your approach.",3,129,2
14,Tracking COGs beyond Amazon,Financial Management,[],LizD,"Hi -
I’m thinking of expanding to Walmart, Jet, and Ebay. I have SellerLegend for Amazon COGs accounting. However, I’m outta luck with Walmart, Jet, and Ebay. How do I incorporate those with as little messing around as possible?
Dan",2,141,1
15,Tracking COGs beyond Amazon,Financial Management,[],LizD,"Are you talking about COGS to see if you’re profitable, or for your accountants?
If the former, you’ll need to have accurate shipping estimates to analyze if it makes sense for a given SKU. We check ours out beforehand in the Pricing & Margin calculator (a WEBS spreadsheet/Google sheet).
If the latter, consider basing it on monthly inventory counts.",2,141,1
16,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,"Hello,
Does anyone have any advise on how to track profits and COGS? Preferably I would like to track for both Amazon as well as my website. One of the things that is confusing me is tracking buy costs when the percentage discount may change between orders.
Thanks,",4,338,5
17,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,"We use Seller Legend to track COGS for Amazon sales, of course it’s only a good estimate and our accounting provides accurate numbers overall but we like SL because it gives great day of estimates and our books are only up to date after Amazon payments are reconciled.",4,338,5
18,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,Ive used inventory lab to track all my COGS. It does a pretty good job of tracking all the pertinent expenses from seller-central as well.,4,338,5
19,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,Thank you. Just started using Inventory Lab and it seems to be exactly what we were looking for.,4,338,5
20,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,"With Inventory Lab and Seller Legend, do you use them in conjunction with accounting software such as QuickBooks, or instead of?",4,338,5
21,Tracking COGS,Financial Management,['Accounting & Bookkeeping'],Mitch,@terrifetters used in conjunction with.  You need the accounting software to accurately track your purchase orders and bills.,4,338,5
22,Accounting Software,Financial Management,['Accounting & Bookkeeping'],BetterLifeSales,"What accounting software does everyone use?
I’ve been using QuickBooks Online and it seems ok, but I’m not exactly blown away.",3,233,3
23,Accounting Software,Financial Management,['Accounting & Bookkeeping'],BetterLifeSales,@jims We use Xero 5.  They are pretty solid.,3,233,3
24,Accounting Software,Financial Management,['Accounting & Bookkeeping'],BetterLifeSales,We also use https://clickandmortaraccounting.com/ 37,3,233,3
25,Accounting Software,Financial Management,['Accounting & Bookkeeping'],BetterLifeSales,@Trent-Admin Had you tried some others before going to this one? Any reason you like this one? I really value your opinion.,3,233,3
26,About the Product Sourcing Category,Product Sourcing,[],Trent-Admin,Have questions about sourcing products? This is the category to use. Please be sure to select the most appropriate sub-category for your questions.,0,0,0
